"player","HR","AB"
"Cal Raleigh",0,2
"Pete Alonso",0,4
"Andy Pages",0,1
"Aaron Judge",0,4
"Kyle Stowers",2,3
"Hunter Goodman",0,0
"Shohei Ohtani",0,2
"Christian Yelich",0,2
"Elly De La Cruz",0,0
"Eugenio Suarez",0,3
"Isaac Paredes",0,1
"Kyle Manzardo",0,0
"Kyle Schwarber",1,3
"Ben Rice",0,0
"Oneil Cruz",0,3
"Byron Buxton",1,5
"Max Muncy",0,0
"Michael Busch",0,0
"Jo Adell",1,4
"Trent Grisham",0,3
"Kyle Tucker",0,2
"Seiya Suzuki",1,4
"Spencer Torkelson",0,3
"Matt Chapman",0,0
"James Wood",0,0
"Brandon Lowe",0,4
"Teoscar Hernandez",0,2
"Wilyer Abreu",0,1
"Taylor Ward",1,4
"Brent Rooker",0,3
"Junior Caminero",2,5
"Pete Crow-Armstrong",0,0
"Brandon Nimmo",0,3
"Juan Soto",1,4
"Riley Greene",0,0
"Rafael Devers",0,4
